Squad,Cluster,Season
Arsenal,1,EPL 2021-2022
Aston Villa,0,EPL 2021-2022
Brentford,0,EPL 2021-2022
Brighton,0,EPL 2021-2022
Burnley,0,EPL 2021-2022
Chelsea,1,EPL 2021-2022
Crystal Palace,0,EPL 2021-2022
Everton,0,EPL 2021-2022
Leeds United,0,EPL 2021-2022
Leicester City,0,EPL 2021-2022
Liverpool,1,EPL 2021-2022
Manchester City,1,EPL 2021-2022
Manchester Utd,0,EPL 2021-2022
Newcastle Utd,0,EPL 2021-2022
Norwich City,0,EPL 2021-2022
Southampton,0,EPL 2021-2022
Tottenham,0,EPL 2021-2022
Watford,0,EPL 2021-2022
West Ham,0,EPL 2021-2022
Wolves,0,EPL 2021-2022
Arsenal,1,EPL 2022-2023
Aston Villa,0,EPL 2022-2023
Bournemouth,0,EPL 2022-2023
Brentford,0,EPL 2022-2023
Brighton,1,EPL 2022-2023
Chelsea,0,EPL 2022-2023
Crystal Palace,0,EPL 2022-2023
Everton,0,EPL 2022-2023
Fulham,0,EPL 2022-2023
Leeds United,0,EPL 2022-2023
Leicester City,0,EPL 2022-2023
Liverpool,1,EPL 2022-2023
Manchester City,1,EPL 2022-2023
Manchester Utd,1,EPL 2022-2023
Newcastle Utd,1,EPL 2022-2023
Nott'ham Forest,0,EPL 2022-2023
Southampton,0,EPL 2022-2023
Tottenham,0,EPL 2022-2023
West Ham,0,EPL 2022-2023
Wolves,0,EPL 2022-2023
Arsenal,1,EPL 2023-2024
Aston Villa,1,EPL 2023-2024
Bournemouth,0,EPL 2023-2024
Brentford,0,EPL 2023-2024
Brighton,1,EPL 2023-2024
Burnley,0,EPL 2023-2024
Chelsea,1,EPL 2023-2024
Crystal Palace,0,EPL 2023-2024
Everton,0,EPL 2023-2024
Fulham,0,EPL 2023-2024
Liverpool,1,EPL 2023-2024
Luton Town,0,EPL 2023-2024
Manchester City,1,EPL 2023-2024
Manchester Utd,0,EPL 2023-2024
Newcastle Utd,1,EPL 2023-2024
Nott'ham Forest,0,EPL 2023-2024
Sheffield Utd,0,EPL 2023-2024
Tottenham,1,EPL 2023-2024
West Ham,0,EPL 2023-2024
Wolves,0,EPL 2023-2024
Arsenal,1,EPL 2024-2025
Aston Villa,0,EPL 2024-2025
Bournemouth,1,EPL 2024-2025
Brentford,0,EPL 2024-2025
Brighton,1,EPL 2024-2025
Chelsea,1,EPL 2024-2025
Crystal Palace,0,EPL 2024-2025
Everton,0,EPL 2024-2025
Fulham,0,EPL 2024-2025
Ipswich Town,0,EPL 2024-2025
Leicester City,0,EPL 2024-2025
Liverpool,1,EPL 2024-2025
Manchester City,1,EPL 2024-2025
Manchester Utd,0,EPL 2024-2025
Newcastle Utd,0,EPL 2024-2025
Nott'ham Forest,0,EPL 2024-2025
Southampton,0,EPL 2024-2025
Tottenham,1,EPL 2024-2025
West Ham,0,EPL 2024-2025
Wolves,0,EPL 2024-2025
