,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,23,16.0,28,224,79,35.3,14.0,4.94,0.12,0.33,14.6,1,2,2,26.8,25.3,0.12,1.2,0.7
Aston Villa,23,16.0,23,207,63,30.4,12.94,3.94,0.11,0.35,15.2,4,1,2,25.5,23.9,0.12,-2.5,-1.9
Bournemouth,25,16.0,24,265,83,31.3,16.56,5.19,0.08,0.24,17.3,5,4,5,32.3,28.3,0.11,-8.3,-8.3
Brentford,23,16.0,32,172,77,44.8,10.75,4.81,0.17,0.39,15.4,5,2,2,25.4,23.8,0.14,6.6,6.2
Brighton,28,16.0,25,233,75,32.2,14.56,4.69,0.11,0.33,17.4,14,0,0,23.0,23.0,0.1,2.0,2.0
Chelsea,24,16.0,37,253,93,36.8,15.81,5.81,0.13,0.37,16.2,8,3,3,34.2,31.8,0.13,2.8,2.2
Crystal Palace,25,16.0,16,224,70,31.3,14.0,4.37,0.07,0.21,17.2,6,1,1,21.9,21.1,0.1,-5.9,-6.1
Everton,24,15.0,12,181,54,29.8,12.07,3.6,0.07,0.22,17.5,8,0,0,14.8,14.8,0.08,-2.8,-2.8
Fulham,23,16.0,23,214,74,34.6,13.37,4.62,0.1,0.3,16.2,4,1,2,21.9,20.4,0.1,1.1,1.6
Ipswich Town,28,16.0,15,163,51,31.3,10.19,3.19,0.09,0.29,16.8,5,0,0,15.2,15.2,0.09,-0.2,-0.2
Leicester City,25,16.0,21,144,48,33.3,9.0,3.0,0.13,0.4,17.7,2,2,2,16.4,15.0,0.1,4.6,4.0
Liverpool,23,15.0,31,228,88,38.6,15.2,5.87,0.12,0.31,16.0,4,4,4,30.6,27.6,0.12,0.4,-0.6
Manchester City,22,16.0,28,281,92,32.7,17.56,5.75,0.1,0.29,16.8,7,1,1,29.7,28.9,0.11,-1.7,-1.9
Manchester Utd,25,16.0,20,206,75,36.4,12.87,4.69,0.09,0.24,17.5,5,2,2,23.1,21.5,0.11,-3.1,-3.5
Newcastle Utd,21,16.0,22,216,64,29.6,13.5,4.0,0.1,0.33,15.8,6,1,2,25.3,23.7,0.11,-3.3,-2.7
Nott'ham Forest,23,16.0,21,214,72,33.6,13.37,4.5,0.09,0.26,17.8,7,2,2,19.7,18.2,0.09,1.3,0.8
Southampton,31,16.0,11,147,44,29.9,9.19,2.75,0.07,0.25,16.0,3,0,2,16.9,15.1,0.11,-5.9,-4.1
Tottenham,25,16.0,34,249,95,38.2,15.56,5.94,0.14,0.36,15.8,6,0,0,30.6,30.6,0.13,3.4,3.4
West Ham,25,16.0,20,238,69,29.0,14.87,4.31,0.07,0.25,16.6,5,3,3,23.6,21.3,0.09,-3.6,-4.3
Wolves,24,16.0,24,176,67,38.1,11.0,4.19,0.14,0.36,18.3,3,0,0,16.7,16.7,0.1,7.3,7.3
